movie_year,genre,count,movie_rank
2019,Action,6,1
2019,Sci-Fi,5,2
2019,Thriller,5,2
2018,Action,19,1
2018,Drama,16,3
2018,Sci-Fi,18,2
2018,Thriller,16,3
2017,Action,31,1
2017,Adventure,21,3
2017,Drama,31,1
2016,Action,31,3
2016,Comedy,34,2
2016,Drama,42,1
2015,Action,30,2
2015,Comedy,30,2
2015,Drama,41,1
2014,Action,37,3
2014,Comedy,40,2
2014,Drama,42,1
2013,Action,43,3
2013,Comedy,44,2
2013,Drama,63,1
2012,Action,37,2
2012,Comedy,36,3
2012,Drama,48,1
2011,Comedy,53,2
2011,Drama,62,1
2011,Thriller,46,3
2010,Action,48,3
2010,Comedy,51,2
2010,Drama,62,1
2009,Comedy,54,3
2009,Drama,82,1
2009,Thriller,55,2
2008,Comedy,62,2
2008,Drama,71,1
2008,Thriller,47,3
2007,Comedy,60,2
2007,Drama,85,1
2007,Thriller,52,3
2006,Comedy,73,2
2006,Drama,96,1
2006,Thriller,51,3
2005,Comedy,73,2
2005,Drama,90,1
2005,Thriller,53,3
2004,Action,48,3
2004,Comedy,69,2
2004,Drama,81,1
2003,Comedy,69,2
2003,Drama,71,1
2003,Thriller,49,3
2002,Comedy,78,2
2002,Drama,99,1
2002,Thriller,57,3
2001,Comedy,83,2
2001,Drama,85,1
2001,Romance,53,3
2000,Comedy,74,2
2000,Drama,89,1
2000,Thriller,48,3
1999,Comedy,81,2
1999,Drama,86,1
1999,Thriller,38,3
1998,Comedy,76,2
1998,Drama,90,1
1998,Thriller,46,3
1997,Comedy,72,2
1997,Drama,94,1
1997,Thriller,51,3
1996,Comedy,93,2
1996,Drama,101,1
1996,Thriller,53,3
1995,Comedy,77,2
1995,Drama,99,1
1995,Romance,49,3
1994,Action,31,3
1994,Comedy,83,2
1994,Drama,90,1
1994,Romance,31,3
1994,Thriller,31,3
1993,Action,27,3
1993,Comedy,50,2
1993,Drama,75,1
1993,Romance,27,3
1992,Comedy,48,2
1992,Drama,51,1
1992,Thriller,25,3
1991,Comedy,37,2
1991,Drama,45,1
1991,Romance,22,3
1990,Comedy,37,1
1990,Drama,35,2
1990,Thriller,24,3
1989,Action,19,3
1989,Comedy,45,1
1989,Drama,38,2
1988,Action,21,3
1988,Comedy,46,1
1988,Drama,37,2
1987,Action,20,3
1987,Comedy,51,1
1987,Drama,33,2
1986,Adventure,18,3
1986,Comedy,40,1
1986,Drama,35,2
1985,Adventure,25,3
1985,Comedy,39,1
1985,Drama,26,2
1984,Comedy,26,2
1984,Drama,27,1
1984,Sci-Fi,17,3
1983,Comedy,20,2
1983,Drama,21,1
1983,Thriller,13,3
1982,Action,11,3
1982,Comedy,20,2
1982,Drama,24,1
1981,Action,14,2
1981,Drama,17,1
1981,Thriller,14,2
1980,Adventure,10,3
1980,Comedy,15,2
1980,Drama,21,1
1979,Comedy,13,2
1979,Drama,21,1
1979,Sci-Fi,9,3
1978,Comedy,12,1
1978,Drama,11,2
1978,Horror,8,3
1977,Adventure,8,3
1977,Comedy,11,1
1977,Drama,9,2
1976,Comedy,8,3
1976,Drama,15,1
1976,Thriller,11,2
1975,Comedy,7,2
1975,Drama,13,1
1975,Sci-Fi,5,3
1974,Action,8,3
1974,Drama,12,1
1974,Thriller,9,2
1973,Comedy,11,2
1973,Crime,10,3
1973,Drama,19,1
1972,Comedy,9,2
1972,Drama,17,1
1972,Thriller,6,3
1971,Action,12,2
1971,Drama,16,1
1971,Thriller,11,3
1970,Comedy,4,3
1970,Drama,8,1
1970,War,6,2
1969,Comedy,7,1
1969,Drama,7,1
1969,Western,5,3
1968,Adventure,5,3
1968,Comedy,6,2
1968,Drama,13,1
1968,Musical,5,3
1968,Sci-Fi,5,3
1967,Action,4,3
1967,Comedy,8,2
1967,Crime,4,3
1967,Drama,12,1
1967,Thriller,4,3
1966,Adventure,4,3
1966,Comedy,8,2
1966,Drama,9,1
1966,Romance,4,3
1965,Comedy,7,2
1965,Drama,10,1
1965,Thriller,6,3
1964,Adventure,6,3
1964,Comedy,8,2
1964,Drama,9,1
1964,Musical,6,3
1963,Adventure,7,3
1963,Comedy,8,2
1963,Drama,9,1
1963,Thriller,7,3
1962,Action,4,3
1962,Drama,17,1
1962,Thriller,5,2
1962,War,4,3
1961,Adventure,4,3
1961,Children,4,3
1961,Comedy,4,3
1961,Drama,12,1
1961,Romance,6,2
1960,Crime,6,2
1960,Drama,14,1
1960,Horror,5,3
1960,Romance,5,3
1959,Comedy,5,2
1959,Drama,10,1
1959,Romance,5,2
1959,War,5,2
1958,Action,3,2
1958,Adventure,3,2
1958,Comedy,3,2
1958,Drama,5,1
1958,Horror,3,2
1958,Romance,3,2
1957,Comedy,5,2
1957,Drama,13,1
1957,Romance,4,3
1957,Thriller,4,3
1956,Adventure,5,2
1956,Drama,11,1
1956,Thriller,4,3
1955,Comedy,6,2
1955,Drama,9,1
1955,Romance,5,3
1955,Thriller,5,3
1954,Adventure,3,3
1954,Comedy,3,3
1954,Drama,6,1
1954,Horror,3,3
1954,Romance,3,3
1954,Sci-Fi,4,2
1954,Thriller,3,3
1953,Comedy,5,2
1953,Drama,12,1
1953,Romance,4,3
1952,Comedy,2,3
1952,Drama,5,1
1952,Romance,3,2
1951,Comedy,3,2
1951,Drama,6,1
1951,Romance,3,2
1951,Sci-Fi,3,2
1950,Comedy,4,2
1950,Drama,5,1
1950,Film-Noir,3,3
1950,Romance,3,3
1949,Comedy,3,2
1949,Drama,6,1
1949,Film-Noir,3,2
1948,Adventure,3,2
1948,Crime,3,2
1948,Drama,7,1
1947,Comedy,3,2
1947,Drama,6,1
1947,Film-Noir,2,3
1947,Romance,2,3
1946,Drama,8,1
1946,Film-Noir,5,2
1946,Romance,5,2
1945,Crime,2,2
1945,Drama,5,1
1945,Film-Noir,2,2
1945,Musical,2,2
1945,Mystery,2,2
1945,Romance,2,2
1945,Thriller,2,2
1944,Crime,3,3
1944,Drama,5,1
1944,Film-Noir,3,3
1944,Thriller,4,2
1943,Adventure,1,3
1943,Crime,1,3
1943,Drama,3,1
1943,Horror,1,3
1943,Musical,1,3
1943,Romance,1,3
1943,Thriller,2,2
1943,War,1,3
1943,Western,1,3
1942,Comedy,3,3
1942,Drama,9,1
1942,Romance,4,2
1941,Comedy,4,2
1941,Drama,7,1
1941,Romance,4,2
1940,Comedy,6,2
1940,Drama,7,1
1940,Romance,5,3
1939,Children,3,3
1939,Comedy,3,3
1939,Drama,7,1
1939,Romance,4,2
1938,Comedy,3,3
1938,Drama,4,1
1938,Romance,4,1
1937,Comedy,3,2
1937,Drama,4,1
1937,Musical,3,2
1936,Comedy,4,1
1936,Crime,1,3
1936,Drama,1,3
1936,Mystery,1,3
1936,Romance,4,1
1936,Thriller,1,3
1935,Adventure,2,3
1935,Comedy,2,3
1935,Drama,3,1
1935,Musical,2,3
1935,Romance,3,1
1934,Comedy,4,1
1934,Musical,2,2
1934,Romance,2,2
1933,Action,1,2
1933,Adventure,1,2
1933,Comedy,1,2
1933,Drama,1,2
1933,Fantasy,1,2
1933,Horror,2,1
1933,Musical,1,2
1933,Romance,1,2
1933,Sci-Fi,1,2
1933,War,1,2
1932,Comedy,2,3
1932,Crime,2,3
1932,Drama,3,1
1932,Horror,2,3
1932,Romance,3,1
1931,Comedy,2,3
1931,Crime,2,3
1931,Drama,3,1
1931,Horror,3,1
1930,Action,1,2
1930,Comedy,1,2
1930,Drama,2,1
1930,Musical,1,2
1930,War,1,2
1929,Documentary,1,1
1929,Fantasy,1,1
1928,Animation,1,2
1928,Children,1,2
1928,Comedy,2,1
1928,Drama,1,2
1928,Musical,1,2
1927,Drama,2,1
1927,Romance,1,2
1927,Sci-Fi,1,2
1926,Comedy,1,1
1926,War,1,1
1925,Adventure,2,1
1925,Drama,2,1
1925,Romance,2,1
1924,Comedy,1,1
1924,Fantasy,1,1
1924,Romance,1,1
1923,Action,1,1
1923,Comedy,1,1
1923,Romance,1,1
1922,Horror,1,1
1921,Comedy,1,1
1921,Drama,1,1
1920,Crime,1,1
1920,Fantasy,1,1
1920,Horror,1,1
1915,Drama,1,1
1915,War,1,1
1902,Action,1,1
1902,Adventure,1,1
1902,Fantasy,1,1
1902,Sci-Fi,1,1
