movie_year,title,count,movie_rank
1902,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)",723,1
1915,"Birth of a Nation, The (1915)",420,1
1920,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",1732,1
1921,"Kid, The (1921)",1367,1
1922,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3968,1
1923,Safety Last! (1923),452,1
1924,Sherlock Jr. (1924),595,1
1925,"Gold Rush, The (1925)",2358,1
1925,Battleship Potemkin (1925),1975,2
1925,Ben-Hur: A Tale of the Christ (1925),684,3
1926,"General, The (1926)",2477,1
1927,Metropolis (1927),6054,1
1927,Sunrise: A Song of Two Humans (1927),631,2
1928,Steamboat Willie (1928),1282,1
1928,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",1017,2
1928,"Circus, The (1928)",461,3
1929,"Andalusian Dog, An (Chien andalou, Un) (1929)",1111,1
1929,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",637,2
1930,All Quiet on the Western Front (1930),2537,1
1930,"Blue Angel, The (Blaue Engel, Der) (1930)",1005,2
1930,Animal Crackers (1930),976,3
1931,M (1931),4636,1
1931,Frankenstein (1931),3508,2
1931,City Lights (1931),3170,3
1932,"Mummy, The (1932)",1646,1
1932,Freaks (1932),1432,2
1932,Horse Feathers (1932),913,3
1933,King Kong (1933),6358,1
1933,Duck Soup (1933),5556,2
1933,"Invisible Man, The (1933)",1468,3
1934,It Happened One Night (1934),4313,1
1934,"Thin Man, The (1934)",3318,2
1934,"Man Who Knew Too Much, The (1934)",1257,3
1935,"39 Steps, The (1935)",3630,1
1935,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",2265,2
1935,Top Hat (1935),2029,3
1936,Modern Times (1936),4872,1
1936,My Man Godfrey (1936),1794,2
1936,Sabotage (1936),556,3
1937,Snow White and the Seven Dwarfs (1937),17940,1
1937,Grand Illusion (La grande illusion) (1937),1653,2
1937,Shall We Dance (1937),1318,3
1938,Bringing Up Baby (1938),4452,1
1938,"Adventures of Robin Hood, The (1938)",3714,2
1938,"Lady Vanishes, The (1938)",2263,3
1939,"Wizard of Oz, The (1939)",24658,1
1939,Gone with the Wind (1939),14668,2
1939,Mr. Smith Goes to Washington (1939),5714,3
1940,Pinocchio (1940),12742,1
1940,Fantasia (1940),12290,2
1940,"Philadelphia Story, The (1940)",6499,3
1941,Citizen Kane (1941),19091,1
1941,"Maltese Falcon, The (1941)",12257,2
1941,Dumbo (1941),9088,3
1942,Casablanca (1942),26890,1
1942,Bambi (1942),7956,2
1942,Holiday Inn (1942),1668,3
1943,Shadow of a Doubt (1943),2331,1
1943,For Whom the Bell Tolls (1943),808,2
1943,Phantom of the Opera (1943),522,3
1944,Arsenic and Old Lace (1944),6729,1
1944,Double Indemnity (1944),5404,2
1944,Laura (1944),2782,3
1945,Spellbound (1945),2287,1
1945,"Lost Weekend, The (1945)",1142,2
1945,Mildred Pierce (1945),1113,3
1946,It's a Wonderful Life (1946),15384,1
1946,"Big Sleep, The (1946)",5720,2
1946,Notorious (1946),5062,3
1947,Miracle on 34th Street (1947),4691,1
1947,"Ghost and Mrs. Muir, The (1947)",1616,2
1947,Out of the Past (1947),1208,3
1948,"Treasure of the Sierra Madre, The (1948)",5360,1
