movie_year,title,round,movie_rank
1902,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)",3.75,1
1915,"Birth of a Nation, The (1915)",3.11,1
1920,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",3.91,1
1921,"Kid, The (1921)",3.95,1
1922,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.88,1
1923,Safety Last! (1923),3.92,1
1924,Sherlock Jr. (1924),3.92,1
1925,"Gold Rush, The (1925)",4.05,1
1925,Battleship Potemkin (1925),3.85,2
1925,Ben-Hur: A Tale of the Christ (1925),3.69,3
1926,"General, The (1926)",4.10,1
1927,Metropolis (1927),3.98,1
1927,Sunrise: A Song of Two Humans (1927),3.97,2
1928,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",4.00,1
1928,"Circus, The (1928)",3.91,2
1928,Steamboat Willie (1928),3.45,3
1929,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",4.01,1
1929,"Andalusian Dog, An (Chien andalou, Un) (1929)",3.76,2
1930,All Quiet on the Western Front (1930),3.95,1
1930,Animal Crackers (1930),3.95,1
1930,"Blue Angel, The (Blaue Engel, Der) (1930)",3.89,3
1931,M (1931),4.16,1
1931,City Lights (1931),4.11,2
1931,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",4.01,3
1932,Horse Feathers (1932),3.97,1
1932,Trouble in Paradise (1932),3.95,2
1932,Scarface (1932),3.76,3
1932,Freaks (1932),3.76,3
1933,Duck Soup (1933),4.08,1
1933,Little Women (1933),3.61,2
1933,"Invisible Man, The (1933)",3.56,3
1934,"Thin Man, The (1934)",4.15,1
1934,It Happened One Night (1934),4.13,2
1934,"Gay Divorcee, The (1934)",3.91,3
1935,Top Hat (1935),4.04,1
1935,"Night at the Opera, A (1935)",4.01,2
1935,"39 Steps, The (1935)",3.98,3
1936,Modern Times (1936),4.09,1
1936,My Man Godfrey (1936),4.02,2
1936,After the Thin Man (1936),3.89,3
1937,Grand Illusion (La grande illusion) (1937),4.13,1
1937,"Day at the Races, A (1937)",3.98,2
1937,Shall We Dance (1937),3.97,3
1938,"Lady Vanishes, The (1938)",4.06,1
1938,Bringing Up Baby (1938),4.02,2
1938,Holiday (1938),3.93,3
1939,"Rules of the Game, The (La règle du jeu) (1939)",4.02,1
1939,Mr. Smith Goes to Washington (1939),4.01,2
1939,Ninotchka (1939),3.99,3
1940,"Philadelphia Story, The (1940)",4.14,1
1940,His Girl Friday (1940),4.10,2
1940,Rebecca (1940),4.07,3
1941,"Maltese Falcon, The (1941)",4.15,1
1941,"Lady Eve, The (1941)",4.10,2
1941,Citizen Kane (1941),4.09,3
1942,Casablanca (1942),4.21,1
1942,"Palm Beach Story, The (1942)",4.06,2
1942,To Be or Not to Be (1942),3.95,3
1943,Shadow of a Doubt (1943),4.11,1
1943,"Ox-Bow Incident, The (1943)",3.87,2
1943,For Whom the Bell Tolls (1943),3.64,3
1944,Double Indemnity (1944),4.19,1
1944,Laura (1944),4.06,2
1944,Arsenic and Old Lace (1944),4.04,3
1945,Children of Paradise (Les enfants du paradis) (1945),4.13,1
1945,"Rome, Open City (a.k.a. Open City) (Roma, città aperta) (1945)",3.94,2
1945,Mildred Pierce (1945),3.93,3
1946,"Big Sleep, The (1946)",4.16,1
1946,Notorious (1946),4.16,1
1946,"Best Years of Our Lives, The (1946)",4.08,3
1947,Out of the Past (1947),4.08,1
1947,Black Narcissus (1947),3.85,2
1947,"Ghost and Mrs. Muir, The (1947)",3.81,3
1948,"Treasure of the Sierra Madre, The (1948)",4.12,1
1948,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),4.12,1
1948,Key Largo (1948),3.98,3
1949,"Third Man, The (1949)",4.20,1
1949,Kind Hearts and Coronets (1949),4.03,2
1949,White Heat (1949),3.97,3
1950,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.21,1
1950,All About Eve (1950),4.17,2
1950,Rashomon (Rashômon) (1950),4.13,3
1951,Strangers on a Train (1951),4.12,1
1951,"African Queen, The (1951)",4.07,2
1951,"Streetcar Named Desire, A (1951)",4.00,3
1952,Ikiru (1952),4.11,1
1952,Singin' in the Rain (1952),4.05,2
1952,High Noon (1952),4.04,3
1953,Stalag 17 (1953),4.09,1
1953,Tokyo Story (Tôkyô monogatari) (1953),4.07,2
1953,Roman Holiday (1953),4.05,3
1954,Seven Samurai (Shichinin no samurai) (1954),4.25,1
1954,Rear Window (1954),4.24,2
1954,On the Waterfront (1954),4.13,3
1955,Song of the Little Road (Pather Panchali) (1955),4.10,1
1955,Mister Roberts (1955),4.04,2
1955,Rififi (Du rififi chez les hommes) (1955),4.04,2
1956,"Killing, The (1956)",4.04,1
1956,"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)",4.01,2
1956,"Searchers, The (1956)",3.94,3
1957,12 Angry Men (1957),4.24,1
1957,Paths of Glory (1957),4.20,2
1957,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.11,3
1958,Touch of Evil (1958),4.14,1
1958,Vertigo (1958),4.12,2
1958,"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",3.95,3
1959,North by Northwest (1959),4.20,1
